Kincaid,ARI,Coleman_Liau,LIX,Flesch_Reading_Ease,Gunning_Fog,SMOG,RIX,Dale_Chall,characters_word,syll_word,wordtypes,words_sentence,words,sentences,sentences_paragraph,complex_words,type_token_ratio,characters,syllables,paragraphs,long_words,complex_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
9.7,11.3,8.54,42.32,65.56,10.42,10.7,3.93,7.0,3.9844559585492227,1.1917098445595855,181.0,24.125,386.0,16.0,16.0,28.0,0.8730569948186528,1538.0,460.0,1.0,59.0,7.0,21,5,14,41,53,36
9.1,10.1,7.95,41.53,67.08,10.31,11.8,4.1,7.28,4.030172413793103,1.2974137931034482,209.0,23.2,464.0,20.0,20.0,52.0,0.9030172413793104,1870.0,602.0,1.0,81.0,7.28,29,16,18,42,58,52
9.9,9.9,8.3,39.97,59.74,10.54,12.3,3.79,7.62,4.035143769968051,1.3067092651757188,161.0,22.357142857142858,313.0,14.0,14.0,39.0,0.8913738019169329,1263.0,409.0,1.0,52.0,7.62,13,4,17,16,32,33
10.9,12.0,10.97,46.12,51.78,10.97,12.4,4.89,8.34,4.328968903436989,1.353518821603928,267.0,22.62962962962963,611.0,27.0,27.0,101.0,0.8576104746317512,2645.0,827.0,1.0,131.0,8.34,31,14,18,23,64,90
8.2,7.7,8.0,35.93,64.2,8.01,11.1,2.93,6.51,4.071566731141199,1.3172147001934236,211.0,17.233333333333334,517.0,30.0,30.0,50.0,0.8994197292069632,2105.0,681.0,1.0,87.0,6.51,42,26,15,28,43,58
6.9,6.0,5.73,31.25,72.76,8.27,9.8,2.25,6.71,3.7627737226277373,1.2153284671532847,140.0,18.266666666666666,274.0,15.0,15.0,26.0,0.8978102189781022,1031.0,333.0,1.0,36.0,6.71,13,5,9,27,28,21
8.6,8.7,8.29,36.44,63.09,8.56,10.8,3.0,6.93,3.9827586206896552,1.256896551724138,236.0,19.333333333333332,580.0,30.0,30.0,61.0,0.8603448275862069,2310.0,729.0,1.0,86.0,6.93,32,18,16,54,65,49
6.9,6.7,7.76,32.94,67.35,6.45,10.0,2.18,6.09,4.037769784172662,1.3003597122302157,227.0,14.256410256410257,556.0,39.0,39.0,40.0,0.8669064748201439,2245.0,723.0,1.0,83.0,6.09,35,8,19,49,56,47
5.8,5.8,6.66,31.56,75.61,7.48,9.7,1.97,6.73,3.833984375,1.232421875,231.0,14.628571428571428,512.0,35.0,35.0,50.0,0.86328125,1963.0,631.0,1.0,69.0,6.73,37,13,24,31,40,40
7.3,8.2,6.62,34.64,77.27,9.39,10.4,2.38,6.26,3.798573975044563,1.2049910873440286,223.0,21.576923076923077,561.0,26.0,26.0,38.0,0.8948306595365418,2131.0,676.0,1.0,62.0,6.26,34,6,26,39,51,36
