essay_id,total_words,distinct_word_count,filtered_word_count,avg_sentence_size,avg_word_size,total_sentences,long_words,short_words,noun_count,adjective_count,pronoun_count,verb_count,conjunction_count,adverb_count,determiner_count,proper_noun_count,numeral_count,interjection_count,dot_count,comma_occurrences,question_marks,exclamations,colon_occurrences,semicolon_occurrences,bracket_pairs,dash_count,triple_dots
1,338.0,184.0,170.0,30.727272727272727,4.550295857988166,11.0,67.0,138.0,72,20,41,68,14,21,20,12,0,0,10,18,2,4,1,0,1,2,0
2,419.0,216.0,230.0,22.05263157894737,4.463007159904534,19.0,86.0,169.0,96,19,42,85,18,17,35,18,4,0,18,12,1,1,0,0,0,1,0
3,279.0,167.0,139.0,18.6,4.526881720430108,15.0,56.0,119.0,72,15,16,53,17,11,27,14,2,0,14,9,0,0,0,0,0,0,0
4,524.0,275.0,302.0,20.96,5.041984732824427,25.0,140.0,182.0,126,42,23,100,18,26,43,71,0,0,24,13,1,2,0,0,0,3,0
5,465.0,226.0,229.0,15.0,4.526881720430108,31.0,95.0,192.0,107,23,28,87,15,34,54,9,5,0,30,13,0,0,0,0,0,2,0
6,246.0,139.0,114.0,16.4,4.191056910569106,15.0,39.0,113.0,45,11,27,49,9,16,23,18,0,0,14,3,2,1,0,0,0,0,0
7,499.0,259.0,262.0,18.48148148148148,4.629258517034068,27.0,99.0,186.0,122,28,54,84,16,39,43,12,3,0,26,35,4,0,0,0,0,0,0
8,482.0,243.0,249.0,13.38888888888889,4.653526970954357,36.0,99.0,186.0,97,40,49,111,19,28,39,14,2,0,35,11,3,1,0,1,0,14,0
9,443.0,244.0,225.0,15.275862068965518,4.424379232505643,29.0,84.0,192.0,103,28,31,84,24,31,56,10,1,1,28,16,6,1,0,2,0,0,0
10,502.0,239.0,233.0,20.08,4.245019920318725,25.0,77.0,220.0,100,39,39,113,26,35,54,11,0,0,24,14,2,0,0,0,0,3,0
11,325.0,216.0,185.0,15.476190476190476,5.0430769230769235,21.0,89.0,105.0,74,26,24,72,10,20,28,19,1,0,20,13,1,1,0,0,0,3,0
12,392.0,171.0,196.0,15.076923076923077,4.5688775510204085,26.0,81.0,144.0,86,31,21,84,13,32,45,18,0,0,25,0,0,0,0,0,0,0,0
13,204.0,124.0,99.0,29.142857142857142,3.9411764705882355,7.0,23.0,96.0,39,18,29,43,12,5,19,4,0,0,6,0,0,0,0,0,0,0,0
14,307.0,144.0,173.0,11.807692307692308,4.270358306188925,26.0,51.0,136.0,79,36,27,54,19,11,20,1,3,0,25,0,0,0,0,0,0,0,0
15,176.0,108.0,101.0,12.571428571428571,4.636363636363637,14.0,40.0,66.0,51,16,10,30,8,8,10,3,1,0,13,7,0,0,0,0,0,1,0
16,528.0,283.0,310.0,15.085714285714285,5.0018939393939394,35.0,130.0,174.0,148,38,29,102,20,17,42,24,1,0,34,23,1,0,0,0,0,1,0
17,335.0,164.0,151.0,18.61111111111111,4.388059701492537,18.0,54.0,128.0,63,13,42,69,14,27,28,6,1,0,17,18,1,0,0,0,0,0,0
18,366.0,188.0,174.0,22.875,4.355191256830601,16.0,56.0,145.0,64,22,44,79,25,39,26,11,1,0,15,26,0,0,0,0,0,0,0
19,66.0,53.0,43.0,9.428571428571429,4.5,7.0,12.0,33.0,19,7,4,15,1,1,8,3,0,0,6,0,0,0,0,0,0,0,0
20,156.0,98.0,92.0,14.181818181818182,4.57051282051282,11.0,31.0,70.0,45,17,12,27,8,6,9,8,1,0,10,3,0,2,0,0,0,2,0
21,367.0,200.0,190.0,18.35,4.5858310626703,20.0,75.0,140.0,78,20,33,76,11,34,28,9,1,1,19,14,1,0,0,0,0,1,0
22,56.0,39.0,31.0,18.666666666666668,4.678571428571429,3.0,8.0,17.0,17,2,4,8,3,0,7,4,0,0,2,0,0,0,0,0,0,0,0
23,521.0,249.0,265.0,17.96551724137931,4.525911708253359,29.0,111.0,187.0,106,22,55,100,30,21,44,35,2,0,28,11,2,0,0,0,0,0,0
24,559.0,294.0,313.0,18.633333333333333,4.7549194991055455,30.0,132.0,207.0,118,49,53,108,18,34,42,32,0,0,29,42,1,10,0,0,0,9,0
25,293.0,139.0,150.0,17.235294117647058,4.713310580204778,17.0,74.0,108.0,71,20,22,62,14,11,28,8,1,0,16,10,0,0,0,0,0,2,0
26,360.0,194.0,188.0,25.714285714285715,4.569444444444445,14.0,79.0,150.0,82,19,40,79,22,13,21,25,1,1,13,23,2,8,0,0,0,0,0
27,120.0,77.0,60.0,15.0,4.425,8.0,21.0,53.0,31,9,10,23,6,6,7,7,0,0,7,6,0,0,0,0,0,0,0
28,360.0,213.0,207.0,12.857142857142858,4.686111111111111,28.0,80.0,129.0,82,26,34,77,15,24,20,11,0,0,27,16,0,2,0,0,0,0,0
29,371.0,191.0,182.0,17.666666666666668,4.560646900269542,21.0,74.0,150.0,80,32,43,74,15,21,26,10,2,0,20,22,1,2,0,4,0,4,0
30,257.0,132.0,140.0,16.0625,4.533073929961089,16.0,50.0,91.0,55,12,25,70,11,13,10,5,0,0,15,6,0,0,0,0,0,2,0
31,472.0,261.0,251.0,16.857142857142858,4.516949152542373,28.0,100.0,179.0,98,33,67,96,21,38,31,25,3,1,27,30,4,3,0,0,0,0,0
32,492.0,259.0,266.0,16.4,4.628048780487805,30.0,98.0,184.0,106,37,54,105,27,33,30,39,2,0,29,26,4,3,0,0,0,1,0
33,167.0,111.0,91.0,12.846153846153847,4.497005988023952,13.0,34.0,65.0,44,15,11,29,7,6,14,10,0,0,12,7,0,0,0,0,0,0,0
34,362.0,185.0,184.0,13.923076923076923,4.19060773480663,26.0,61.0,156.0,92,20,29,73,16,23,42,9,1,0,25,15,0,1,0,0,0,0,0
35,413.0,192.0,214.0,13.766666666666667,4.530266343825666,30.0,83.0,162.0,82,32,47,88,9,20,36,11,0,1,29,22,3,1,0,0,0,5,0
36,542.0,270.0,259.0,31.88235294117647,4.564575645756458,17.0,111.0,217.0,94,43,63,101,17,31,36,57,2,0,16,35,4,4,0,0,0,1,0
37,488.0,274.0,262.0,17.428571428571427,4.440573770491803,28.0,91.0,194.0,101,44,52,108,18,26,39,16,1,0,27,25,2,2,0,0,0,1,0
38,353.0,179.0,175.0,19.61111111111111,4.294617563739377,18.0,68.0,172.0,72,19,37,72,8,17,33,6,4,0,17,7,0,0,0,0,0,0,0
39,445.0,225.0,242.0,20.227272727272727,4.36629213483146,22.0,69.0,176.0,105,28,40,78,29,23,39,19,1,0,21,7,0,1,0,0,0,0,0
40,190.0,119.0,92.0,11.176470588235293,4.38421052631579,17.0,38.0,84.0,48,13,23,39,5,0,21,8,0,0,16,3,0,0,0,0,0,1,0
41,41.0,32.0,21.0,10.25,4.390243902439025,4.0,7.0,16.0,12,2,3,8,1,1,4,0,0,0,3,0,0,0,0,0,0,0,0
42,282.0,144.0,132.0,18.8,4.25886524822695,15.0,40.0,115.0,53,19,37,53,13,18,21,12,1,0,14,0,0,0,1,0,0,0,0
43,140.0,91.0,68.0,15.555555555555555,4.55,9.0,29.0,61.0,35,5,15,29,6,6,13,3,1,0,8,2,0,0,0,0,0,0,0
44,313.0,125.0,172.0,10.793103448275861,4.2300319488817895,29.0,48.0,134.0,86,22,19,59,4,18,29,20,1,0,28,5,0,0,0,0,0,0,0
45,322.0,167.0,156.0,17.88888888888889,4.313664596273292,18.0,51.0,145.0,79,20,32,51,22,24,25,19,1,1,17,14,3,0,0,0,0,0,0
46,298.0,121.0,146.0,24.833333333333332,4.473154362416107,12.0,59.0,128.0,61,16,49,74,9,6,16,5,1,0,11,6,0,0,0,0,0,4,0
47,314.0,177.0,163.0,18.470588235294116,4.235668789808917,17.0,53.0,143.0,85,16,21,52,13,21,30,2,2,0,16,6,0,2,0,0,0,2,0
48,544.0,253.0,243.0,18.75862068965517,4.244485294117647,29.0,79.0,233.0,115,28,58,99,16,44,52,13,1,0,28,22,5,0,0,0,0,2,0
49,315.0,160.0,156.0,12.115384615384615,4.726984126984127,26.0,64.0,118.0,76,21,31,55,7,19,18,2,2,0,25,6,2,0,0,0,0,1,0
50,83.0,63.0,49.0,20.75,4.698795180722891,4.0,18.0,28.0,22,5,3,12,3,8,6,0,2,0,3,1,0,0,0,0,0,0,0
51,571.0,214.0,246.0,38.06666666666667,3.8896672504378285,15.0,58.0,274.0,79,28,85,128,39,42,45,14,6,0,14,5,0,0,0,0,0,0,0
52,241.0,143.0,127.0,15.0625,4.4937759336099585,16.0,47.0,95.0,58,18,24,49,6,13,21,9,2,0,15,3,0,0,0,0,0,0,0
53,424.0,216.0,179.0,15.142857142857142,4.224056603773585,28.0,64.0,182.0,81,9,56,95,12,32,38,12,0,0,27,21,0,0,0,0,0,0,0
54,415.0,243.0,219.0,12.575757575757576,4.544578313253012,33.0,90.0,169.0,105,23,44,84,16,34,40,13,3,1,32,26,1,2,0,0,0,1,1
55,237.0,119.0,112.0,21.545454545454547,4.755274261603375,11.0,56.0,87.0,46,15,20,40,8,25,12,9,0,0,10,7,0,3,0,0,0,0,0
56,469.0,258.0,243.0,20.391304347826086,5.136460554371002,23.0,150.0,181.0,125,34,25,90,21,22,48,7,2,0,22,11,0,0,0,0,0,2,0
57,291.0,166.0,156.0,12.652173913043478,4.9243986254295535,23.0,86.0,114.0,71,28,8,62,13,9,28,15,2,0,22,11,1,0,0,0,0,0,0
58,197.0,122.0,99.0,13.133333333333333,4.477157360406092,15.0,36.0,85.0,39,7,27,42,9,12,11,6,0,0,14,7,0,0,0,0,0,0,0
59,442.0,214.0,229.0,19.217391304347824,4.592760180995475,23.0,95.0,159.0,96,38,39,89,16,20,41,19,3,0,22,8,0,1,0,0,0,0,0
60,68.0,53.0,38.0,9.714285714285714,5.0588235294117645,7.0,19.0,23.0,19,8,6,13,3,1,4,3,0,0,6,5,0,0,0,0,0,1,0
61,301.0,166.0,159.0,13.08695652173913,4.588039867109635,23.0,69.0,113.0,66,20,25,70,13,19,18,6,0,0,22,9,1,0,0,0,0,0,0
62,283.0,137.0,154.0,18.866666666666667,4.303886925795053,15.0,47.0,126.0,64,22,30,75,17,7,25,8,0,0,14,7,0,0,0,0,0,0,0
63,290.0,134.0,132.0,16.11111111111111,4.5,18.0,49.0,122.0,56,17,37,58,11,11,25,9,0,0,17,11,0,0,0,0,0,0,0
64,217.0,105.0,105.0,31.0,4.142857142857143,7.0,32.0,104.0,45,8,24,43,18,12,17,10,1,0,6,0,0,0,0,0,0,0,0
65,414.0,201.0,191.0,16.56,4.591787439613527,25.0,93.0,157.0,76,24,50,89,17,33,36,14,3,0,24,15,0,0,0,0,0,4,0
66,371.0,201.0,195.0,16.130434782608695,4.7008086253369274,23.0,85.0,148.0,79,22,38,81,22,30,22,1,1,0,22,17,3,0,0,1,0,0,0
67,293.0,142.0,163.0,15.421052631578947,4.559726962457338,19.0,60.0,118.0,79,19,30,56,8,20,18,6,0,0,18,13,2,0,0,0,0,0,0
68,390.0,234.0,201.0,11.470588235294118,4.6923076923076925,34.0,90.0,146.0,91,21,33,88,18,30,34,12,0,0,33,20,1,0,0,0,0,2,0
